IntentID,IntentName,Query,Response,,,
,匯兌,外匯,外匯（Foreign Exchange，或Forex）是貨幣行政當局以銀行存款、財政部證券、長短期政府證券等形式所持有的國際收支逆差時可以使用的債權。它是國際貿易的產物，是國際貿易清償的支付手段。 ,,,
,匯兌,電匯,電匯即匯款人向當地外匯銀行交付本國貨幣，由該行用電報或電傳通知國外分行或代理行立即付出外幣。,,,
,匯兌,信匯,信匯是指匯款人向當地銀行交付本國貨幣，由銀行開具付款委托書，用航空郵寄交國外分行或代理行，辦理付出外匯業務。採用信匯方式，由於郵程需要的時間比電匯長，銀行有機會利用這筆資金，所以信匯匯率低於電匯匯率，其差額相當於郵程利息。,,,
,匯兌,票匯,票匯是指匯出行應匯款人的申請，開立以匯入行為付款人的匯票，列明收款人的姓名、匯款金額等等，交由匯款人自行寄送給收款人或親自攜帶出國，以憑票取款的一種匯款方式。,,,
,匯兌,匯票,匯票主要有以下兩種:銀行匯票、商業匯票,,,
,匯兌,銀行匯票,銀行匯票是由企業單位或個人將款項交存開戶銀行，由銀行簽發給其持往異地採購商品時辦理結算或支取現金的票據。,,,
,匯兌,商業匯票,商業匯票是出票人簽發的，委托付款人在指定日期無條件支付確定的金額給收款人或者持票人的票據。,,,
,匯兌,外幣,外幣有狹義和廣義之分狹義的外幣，指本國貨幣以外的其他國家或地區的貨幣，包括各種紙幣和鑄幣等。,,,
,匯兌,匯兌,匯率亦稱“外匯行市或匯價”。一國貨幣兌換另一國貨幣的比率，是以一種貨幣表示另一種貨幣的價格。由於世界各國貨幣的名稱不同，幣值不一，所以一國貨幣對其他國家的貨幣要規定一個兌換率，即匯率。,,,
,匯兌,交叉匯率,所謂交叉匯率是指兩種不同貨幣之間的價格關係，兩個國家之間的貨幣匯兌是利用各自對美元的匯率套算得出。(資料來源:維基百科),,,
,匯兌,廣義的外幣,廣義的外幣，指所有以外國貨幣表示的能用於國際結算的支付憑證。除了國外的紙幣和鑄幣外，還包括企業所持有的外國的有價證券，如以外幣表示的政府公債、國庫存券、公司債券、股票和股息等；也包括外幣支付憑證，如以外幣表示的票據、銀行存款憑證、郵政儲蓄憑證等，還包括其他外幣資金，如各種外幣匯款、進出口貿易的外幣性貨款等。其涵義與外匯的靜態涵義一致。,,,
,匯兌,外匯掉期,一種同時買入及賣出在不同日期（通常為即期和遠期）交割的同等數額貨幣的交易形式。它允許企業在擁有多幣種資金的情況下有效地管理資金。(資料來源:維基百科),,,
,匯兌,即期匯率,指雙方在現貨交易日以約定價格出售另一貨幣來購買一種貨幣的協議。交易完成時的匯率稱為現貨匯率（spot exhcange rate）。(資料來源:維基百科),,,
,匯兌,遠期匯率,指銀行在與投資者訂立遠期合約時同意指定將來一個日期將一種貨幣兌換為另一種貨幣的匯率，並以此匯率在遠期外匯市場進行交易。跨國企業、銀行和其他金融機構訂立遠期合約，以遠期匯率作為對沖。遠期匯率由即期匯率與兩國之間的利率差異之間的平價關係確定，反映了外匯市場中的經濟均衡，消除套利機會。當處於均衡且兩國的利率不同時，平價條件意味著遠期利率包含了反映利率差異的溢價或折價。遠期匯率對預測未來即期匯率具有重要的理論意義。(資料來源:維基百科),,,
,匯兌,利差交易,又稱為套息交易或融資套利交易，指在低利率的國家借錢，換成較高利率國家的貨幣後出貸，賺取利差。(資料來源:維基百科),,,
,匯兌,套息交易,又稱為利差交易或融資套利交易，指在低利率的國家借錢，換成較高利率國家的貨幣後出貸，賺取利差。(資料來源:維基百科),,,
,匯兌,融資套利交易,又稱為套息交易或利差交易交易，指在低利率的國家借錢，換成較高利率國家的貨幣後出貸，賺取利差。(資料來源:維基百科),,,
,匯兌,外匯存底,是一個國家或經濟體的央行持有並可隨時兌換他國貨幣的資產，通常以美元計算。狹義而言，外匯儲備指一個國家或經濟體的外匯累積；廣義而言，指以外匯計價的總資產，包括現鈔、黃金、國外貨幣債券或政府債?等。外匯儲備是一個國家或經濟體國際清償力的重要組成部分，同時對於平衡國際收支、穩定匯率有重要影響。(資料來源:維基百科),,,
,匯兌,浮動匯率制,指由外匯市場或自由市場需求與供應來決定升貶的匯率制度。一般而言政府不加干涉，才能使市場機能充份發揮，因此若是外匯市場越發達且金融組織愈健全的國家，對於外匯市場的干預也就越少。但因各國的國情不盡相同，所具備的條件亦異，因此其允許浮動的程度也不一致，而以混合固定匯率與浮動匯率機制的管制匯率（Dirty floating rate），通常外匯變化會由市場供需決定，但若受偶發性、季節性甚至受到不正常的市場預期心理等因素干擾而使匯率波動幅度過大時，政府通常會在必要時候進行不同程度的干預市場價格，以減少匯率波動的產生幅度。(資料來源:維基百科),,,
,匯兌,金本位,是一種貴金屬貨幣制度，每單位的貨幣價值等同於若干含重量的黃金（即貨幣含金量）；當不同國家使用金本位時，國家之間的匯率由它們各自貨幣的含金量之比值－金平價（Gold Parity）來決定。(資料來源:維基百科),,,
,匯兌,固定匯率制,是國家間貨幣採用固定匯率進行貨幣交換的制度，一國政府可通過行政方式限定其貨幣相對於另一貨幣的價值。該國政府依照一定重量的黃金，或者一定量的另一種貨幣，或貨幣組合給本國貨幣定價。(資料來源:維基百科),,,
,匯兌,貨幣升值,升值或貨幣升值是指某一特定貨幣價值上漲，此價值一般會以兌換為其他貨幣單位後的金額為準[1]，意指價格上升或是價值增多。升值的反義詞是貶值，是指貨幣的價值下降。貨幣的升值或貶值會影響其在國際市場上的價值，也會反映在匯率上。升值貨幣可以使本國商人從外國買進東西更便宜，有利進口但是不利出口，因為出口商收進的外幣能兌換成本幣的數量就變少，出口商積欠本國銀行的貸款用本幣計值，等於要賣出更多商品才能償還。(資料來源:維基百科),,,
,匯兌,貨幣貶值,貶值或貨幣貶值是指某一特定貨幣價值下降，此價值一般會以兌換為其他貨幣單位後的金額為準，指價格下降或是價值減少。貨幣貶值和通貨膨脹不同，通貨膨脹是指某一特定通貨可購買的商品或服務（即購買力）減少。貨幣貶值後，需用較多的本國貨幣兌換等值外幣，因此不利於進口，也會造成國內進口商品物價的上漲。不過對於商品出口而言，因為等值本國貨幣所對應的外幣下降，對於出口有利。(資料來源:維基百科),,,
,匯兌,通貨膨脹,貨幣流通數量增加，但也指向因貨幣流通數量增加，而使得物價水準在某一時期內，連續性地以相當的幅度上漲，也就是物價上升，貨幣購買力下降的現象。(資料來源:維基百科),,,
,,,,,,
,選擇權,選擇權,選擇權（Option，或稱期權）是一種選擇交易與否的權利。當契約買方付出權利金（Premium）後，如果享有在特定時間內（或在某特定時間）向契約賣方依特定條件或履約價格（或稱行使價），買入或賣出一定數量標的物的權力，這種權利就稱為期權或是選擇權。(資料來源:維基百科),,,
,選擇權,外匯選擇權,外匯選擇權(Foreign Exchange Option) 除了遠期外匯與期貨契約外，投資者及進出口廠商亦可利用選擇權市場來對匯率的波動進行避險。外匯選擇權（Foreign Exchange Option）的買權（Call）持有者在付出權利金(Premium)予選擇權賣方之後，自該項契約成立之日起，至預先約定未來某一時日或之前，得以事先約定之履約價格(Strike Price 或Exercise Price)，要求賣方買入或賣出定量之某種通貨，且賣方有義務按約定價格履行交割義務。外匯選擇權最早係在交易所進行的契約，在交易所交易的外匯選擇權之標的物為固定金額的即期外匯，或是相當金額的外匯期貨契約，但近來受到店頭市場契約較具彈性等優點的影響，在店頭市場交易之外匯選擇權交易量已占全體外匯選擇權市場交易之9成。目前全球最為熱絡的外匯現貨選擇權交易所為費城證券交易所（Philadelphia Stock Exchange），主要為美元對日圓、歐元及澳幣等主要通貨的匯率選擇權契約；而外匯期貨選擇權則以芝加哥商品交易所（CME）轄下的國際貨幣市場（IMM）較為活絡。,,,
,選擇權,現貨選擇權,（Option on Spot）：標的物為金屬、農產品等一般大宗物資或是股票、ETF、外匯、利率等金融商品。(資料來源:維基百科),,,
,選擇權,期貨選擇權,標的物為期貨而非現貨，可以包括各種商品期貨和金融期貨。(資料來源:維基百科),,,
,選擇權,標的物,（Underlying）：欲交易的項目、數量和類別（期貨選擇權或是現貨選擇權）。(資料來源:維基百科),,,
,選擇權,履約日,（Expiration Date）：一般而言，選擇權的履約日期為開始日約9個月後的某個特定日子。定型化選擇權契約的推出有季節性，因此選擇權契約的開始日與履約日期大多相當集中。(資料來源:維基百科),,,
,選擇權,履約價,（Strike Price）：履約價格是契約買方在履約日期買賣特定標的物所依據的價格，通常是交易所所事先決定。同一種標的物得選擇權契約，多有數個不同的履約價格，而此通常依照現貨價格再加減一定數額所定。(資料來源:維基百科),,,
,選擇權,實質價值,（Intrinsic Value，或稱內生價值、內涵價值 、內在價值），是指標的物即期價格與選擇權履約價格之間的差異。如果履約價格低於標的即期價格，則稱為買權有實質價格存在。如果反之，履約價格高於標的即期價格，則稱為賣權具備實質價值。(資料來源:維基百科),,,
,選擇權,內生價值,（Intrinsic Value，或稱實質價值、內涵價值 、內在價值），是指標的物即期價格與選擇權履約價格之間的差異。如果履約價格低於標的即期價格，則稱為買權有實質價格存在。如果反之，履約價格高於標的即期價格，則稱為賣權具備實質價值。(資料來源:維基百科),,,
,選擇權,內涵價值,（Intrinsic Value，或稱內生價值、實質價值 、內在價值），是指標的物即期價格與選擇權履約價格之間的差異。如果履約價格低於標的即期價格，則稱為買權有實質價格存在。如果反之，履約價格高於標的即期價格，則稱為賣權具備實質價值。(資料來源:維基百科),,,
,選擇權,內在價值,（Intrinsic Value，或稱內生價值、內涵價值 、實質價值），是指標的物即期價格與選擇權履約價格之間的差異。如果履約價格低於標的即期價格，則稱為買權有實質價格存在。如果反之，履約價格高於標的即期價格，則稱為賣權具備實質價值。(資料來源:維基百科),,,
,選擇權,價內,任何具備實質價值的選擇權被稱為價內（實值選擇權），買入選擇權的履約價格比即期價格低時便稱為價內；賣出選擇權的履約價較即期價格高時也稱為價內，只要是履約時選擇權買方可以賺到錢的契約就被稱為是價內。價內的大小可以用數值表示。(資料來源:維基百科),,,
,選擇權,價外,價內的相反，也就是選擇權買方履約時會虧損的契約，稱為價外（Out-of-the-Money，也稱為虛值選擇權）。買入選擇權的履約價格比即期價格高時便稱為價外；賣出選擇權的履約價較即期價格低時也稱為價外。價外的大小，和價內一樣，也可以用數值表示。(資料來源:維基百科),,,
,選擇權,價平,當權利金價值與即期價格相等時，稱為價平（At-the-Money，也稱為兩平選擇權），此時買賣雙方沒有人賺錢，也沒有人賠錢。(資料來源:維基百科),,,
,選擇權,時間價值,（Time Value）是選擇權價格的第二個決定因素。因為選擇權在持有時間內會因為標的物的價格變動而使選擇權價值變動，就算目前選擇權為價外而沒有內生價值，只要選擇權還在有效期限內，就仍有回到價內的機會，故時間價值必為正值（或零，在某些少見的情況下）(資料來源:維基百科),,,
,,,,,,
,股票,股票,股票是股份證書的簡稱，是股份公司為籌集資金而發行給股東作為持股憑證並藉以取得股息和紅利的一種有價證券。每股股票都代表股東對企業擁有一個基本單位的所有權。這種所有權是一種綜合權利，如參加股東大會、投票表決、參與公司的重大決策、收取股息或分享紅利等。同一類別的每一份股票所代表的公司所有權是相等的。每個股東所擁有的公司所有權份額的大小，取決於其持有的股票數量占公司總股本的比重。股票是股份公司資本的構成部分，可以轉讓、買賣或作價抵押，是資本市場的主要長期信用工具，但不能要求公司返還其出資。股東與公司之間的關係不是債權債務關係。股東是公司的所有者，以其出資份額為限對公司負有限責任，承擔風險，分享收益。,,,
,股票,普通股,普通股是股票的一種，相對於優先股（特別股）。為一間公司最基本的一種股份類別。於上市公司中，一般會以這類股票在證券交易所上市，並通常佔了公司資本的主要部分。普通股可分為「A股」和「B股」。(資料來源:維基百科),,,
,股票,優先股與特別股,特別股是擁有普通股不具備的某些特徵的一類公司股票，同時具有債務工具和權益工具的特徵，通常被認為是一種混合工具。(資料來源:維基百科),,,
,股票,A股,A股是股票市場中一種股票分類，與其相對的是B股。兩者區別在於A股的面值多是B股的五倍至十倍，但兩者的投票權是相等的。但B股也不是無敵的，只要有股東持有足夠的A股，便可召開股東大會，取消B股上市地位。(資料來源:維基百科),,,
,股票,B股,B股是股票市場中一種股票分類，與其相對的是A股。兩者分別在於B股的面值多是A股的五分之一至十分之一，但兩者的投票權是相等的。所以於1970年代、1980年代很多公司皆曾發行，務求以最少的金錢控制公司，但這也不是無敵的，只要有股東持有足夠的A股，便可召開股東大會，取消B股上市地位。(資料來源:維基百科),,,
,股票,全額交割股,全額交割股（full-cash delivery stock）是一股市術語，法規用詞為變更交易方法股票。全額交割制度為台灣股票市場所特有，透過縮短交割期限及事先備齊款券的方式，來保障投資大眾權益。(資料來源:維基百科),,,
,股票,託管費,基金託管費是指基金託管人為基金提供服務而向基金收取的費用，比如銀行為保管、處置基金信託財產而提取的費用。託管費通常按照基金資產淨值的一定比例提取，目前通常為0.25%，逐日累計計提，按月支付給託管人。此費用也是從基金資產中支付，不須另向投資者收取。(資料來源:維基百科),,,
,股票,傭金,佣金或傭金是商業活動中勞務報酬的一種，一般而言是指提供給中介或代理的報酬。而所謂的中間人是指在商業行為中促成交易的角色，例如房地產買賣的仲介商、股票市場的證券所和拍賣行等等。(資料來源:維基百科),,,
,股票,印花稅,印花稅，是稅的一種，是對契約、憑證、書據、帳簿及權利許可證等文件徵收的稅種。納稅人通過在文件上加貼印花稅票，或者蓋章來履行納稅義務。(資料來源:維基百科),,,
,股票,被動投資,被動投資的理論基礎是建立在有效市場假說基礎上的隨機漫步理論，相對於價值投資或者趨勢投資，更大程度上表現出「由市場的不斷發展獲利」。主要表現形式為投資指數基金。(資料來源:維基百科),,,
,股票,效率市場假說,效率市場假說（Efficient-market hypothesis，EMH），又譯為有效市場假說，一個經濟學說，是金融學中最重要的七個理念之一，其對有效市場的定義是：如果在一個證券市場中，價格完全反映了所有可以獲得的信息，那麼就稱這樣的市場為有效市場。(資料來源:維基百科),,,
,股票,指數基金,指數基金（Index Fund）或指數型基金，是消極管理投資基金的主要形式，有時候被用來指代所有的消極管理投資基金。從廣義上講，ETF（交易所交易基金）也屬於指數基金。(資料來源:維基百科),,,
,股票,價值投資,價值投資是投資策略的其中一種，和價值投資法所對應的是趨勢投資法。其重點是透過基本面分析中的概念，例如高股息收益率、低本益比（P/E，股價/每股淨利潤）和低市淨率（P/B，股價/每股淨資產），去尋找並投資於一些股價被低估了的股票。(資料來源:維基百科),,,
,股票,技術面,技術分析是指研究過去金融市場的資訊（主要是經由使用圖表）來預測價格的趨勢與決定投資的策略。純理論上，技術分析只考慮市場或金融工具真實的價格行為，在假設其價格會反應所有在投資者經由其他渠道得知前的所有相關因素的前提之下。技術分析的基本信仰建立在「歷史會不斷重演」，並試圖藉由大量的統計資料來預測行情走勢。(資料來源:維基百科),,,
,股票,基本面,基本面分析是一種證券或股票估價的方法，利用財務分析和經濟學上的研究來評估企業價值或預測證券（如股票或債券等）價值的走勢。這些被分析的基本資料可以包含一家公司的財務報表和非財務上的資訊，如商品需求成長性的預測、企業比較、新制度的影響分析或人口的改變。它通常和所謂的技術分析相對，技術分析在研究證券價值的趨勢時，並不使用到市場本身以外的因素來做預測。(資料來源:維基百科),,,
,股票,牛市,又稱為多頭市場，是指證券市場上價格走高的市場。當然，在升勢的全過程中，股價多多少少會出現幾次回落調整的情況，這些都是正常的。其相反為熊市(空頭市場)。此處的證券市場，泛指常見的股票、債券、期貨、選擇權、外匯、可轉讓定存單、衍生性金融商品及其它各種證券。(資料來源:維基百科),,,
,股票,多頭市場,又稱為牛市，是指證券市場上價格走高的市場。當然，在升勢的全過程中，股價多多少少會出現幾次回落調整的情況，這些都是正常的。其相反為熊市(空頭市場)。此處的證券市場，泛指常見的股票、債券、期貨、選擇權、外匯、可轉讓定存單、衍生性金融商品及其它各種證券。(資料來源:維基百科),,,
,股票,熊市,又稱為空頭市場，指證券市場上，價格走低的市場。其相反為牛市(多頭市場)。此處的證券市場，泛指常見的股票、債券、期貨、選擇權、外匯、可轉讓定存單、衍生性金融商品及其它各種證券。(資料來源:維基百科),,,
,股票,空頭市場,又稱為熊市，指證券市場上，價格走低的市場。其相反為牛市(多頭市場)。此處的證券市場，泛指常見的股票、債券、期貨、選擇權、外匯、可轉讓定存單、衍生性金融商品及其它各種證券。(資料來源:維基百科),,,
,股票,股利,股利（Dividend），又譯股息或紅利，是指股份公司從留存收益中派發給股東的那一部分。股利是股東投資於股份公司的收益的一部分（另一部分是資本利得），是付給資本的報酬。就上市公司的情況中，股利只會派發給在除息日之前一日持有股票至除息日當日的人士，在除息日當日或以後才買入股票的人則不能獲派股利。與此同時，證券交易所會在除息日開市前自動把股票的上一交易日收盤價扣減股利的價值，定為該股票的前一交易日的收盤價，因此股價會在開盤時自動下跌。股利一般有兩種支付方式：現金股利（股息，Cash Dividends）和股票股利（股利，Stock Dividends）。(資料來源:維基百科),,,
,股票,本益比,股票的市盈率 (Price-to-Earning Ratio，P/E 或 PER)，又稱為本益比，指每股市價除以每股盈餘 (Earnings Per Share，EPS)，通常作為股票是便宜抑或昂貴的指標 (通貨膨脹會使每股收益虛增，從而扭曲本益比的比較價值)。本益比把企業的股價與其製造財富的能力聯繫起來。(資料來源:維基百科),,,
,股票,市盈率,股票的市盈率 (Price-to-Earning Ratio，P/E 或 PER)，又稱為本益比，指每股市價除以每股盈餘 (Earnings Per Share，EPS)，通常作為股票是便宜抑或昂貴的指標 (通貨膨脹會使每股收益虛增，從而扭曲本益比的比較價值)。本益比把企業的股價與其製造財富的能力聯繫起來。(資料來源:維基百科),,,
,股票,市賬率,又名市凈率、股價淨值比，指每股市價除以每股淨資產，通常作為股票孰賤孰貴的指標之一。計算方法為股票的市賬率＝每股市價／每股淨資產(資料來源:維基百科),,,
,股票,市凈率,又名市賬率、股價淨值比，指每股市價除以每股淨資產，通常作為股票孰賤孰貴的指標之一。計算方法為股票的市賬率＝每股市價／每股淨資產(資料來源:維基百科),,,
,股票,股價淨值比,又名市凈率、市賬率，指每股市價除以每股淨資產，通常作為股票孰賤孰貴的指標之一。計算方法為股票的市賬率＝每股市價／每股淨資產(資料來源:維基百科),,,
,股票,K線,K線（Candlestick chart）又稱「陰陽燭」、「蠟燭線」，是反映價格走勢的一種圖線，其特色在於一個線段內記錄了多項訊息，相當易讀易懂且實用有效，廣泛用於股票、期貨、貴金屬、數字貨幣等行情的技術分析，稱為K線分析。(資料來源:維基百科),,,
,股票,陰陽燭,陰陽燭又稱「K線」、「蠟燭線」，是反映價格走勢的一種圖線，其特色在於一個線段內記錄了多項訊息，相當易讀易懂且實用有效，廣泛用於股票、期貨、貴金屬、數字貨幣等行情的技術分析，稱為K線分析。(資料來源:維基百科),,,
,股票,蠟燭線,蠟燭線又稱「陰陽燭」、「K線」，是反映價格走勢的一種圖線，其特色在於一個線段內記錄了多項訊息，相當易讀易懂且實用有效，廣泛用於股票、期貨、貴金屬、數字貨幣等行情的技術分析，稱為K線分析。(資料來源:維基百科),,,
,股票,均線,移動平均線（moving average，MA），是技術分析中一種分析時間序列數據的工具。最常見的是利用股價、回報或交易量等變數計算出移動平均。移動平均可撫平短期波動，反映出長期趨勢或週期。數學上，移動平均可視為一種卷積。(資料來源:維基百科),,,
,股票,移動平均線,是技術分析中一種分析時間序列數據的工具。最常見的是利用股價、回報或交易量等變數計算出移動平均。移動平均可撫平短期波動，反映出長期趨勢或週期。數學上，移動平均可視為一種卷積。(資料來源:維基百科),,,
,股票,壓力線,又稱為阻力線，投資學裡技術分析名詞，是將K線圖中兩個波段的高點相連而成的線。(資料來源:維基百科),,,
,股票,多頭,作多，又稱買空，與空頭（賣空）相反，指投資人買入證券部位後，持有不出脫的操作方式。通常預設後市看好看漲，是傳統的證券操作方式。股票投資人根據股市行情價格波動而進行波段操作，在低位買入高位賣出，即高拋低吸。(資料來源:維基百科),,,
,股票,空頭,放空，又稱作空、空頭、沽空、賣空，與作多相對，指投資人在手中不持有證券或金融產品的情況下，賣出該證券或金融產品。一般而言，散戶難以放空證券，因為少量的借入某一證券並不容易，手續費亦相對較高。放空外幣及貴金屬則十分容易，因為種類少，而且流動性高。(資料來源:維基百科),,,
,股票,除息,除息（Ex-Dividends），是公司配發「現金股利」（配息／股息）給股東時，將發放的股息從股價中扣除，除息參考價 = 除息前一日收盤價 - 現金股利。(資料來源:維基百科),,,
,股票,填息,除息後，除息前一日的收盤價與除息後的價位之間有個除息價差缺口，如果股價能回升並超過除息前一天的收盤價，稱之為「填息」。(資料來源:維基百科),,,
,股票,貼息,如果股價除息後，沒有回補除息差價缺口，反而下跌，使參與除息的投資人蒙受損失，則稱為「貼息」。(資料來源:維基百科),,,
,股票,除權,除權（Ex-Right）指的是股票的發行公司依一定比例分配股票給股東，作為「股票股利」（配股／股利），此時增加公司的總股數。美國稱股票除權為「股票分割」（Stock split），但美國稅法認為股票分割後每股股價應等比例降低，股東不算得到股票股利，所以不須繳所得稅，但在台灣若有除權股東須繳所得稅。除了股票股利之外，發行公司也可分配「現金股利」給股東，此時則稱為除息。(資料來源:維基百科),,,
,股票,上櫃股票,公開發行公司申請將其所發行的證券（包括股票與公司債）在證券商營業處所買賣者稱為上櫃申請，經核准可以在證券商營業處所為櫃檯買賣的股票稱為上櫃股票，也就是說可以在櫃檯買賣市場發行與流通的股票叫做上櫃股票。(資料來源:維基百科),,,
